,index,feature,importance,importance_normalized,cumulative_importance
140,829,"('tank_concentration_acid', 'std', 'pre_rinse')",3373.556145935872,0.000962336459767414,0.7668955663613443
141,717,"('tank_temperature_pre_rinse', 'kurt', 'pre_rinse')",3364.990429502876,0.0009598930140766015,0.7678554593754209
142,574,"('tank_level_pre_rinse', 'sum', 'acid')",3361.2682590744985,0.0009588312323371718,0.7688142906077581
143,503,"('return_turbidity', 'mean', 'caustic')",3350.3364164405994,0.000955712828408512,0.7697700034361666
144,272,"('supply_flow', 'mean_500')",3348.7588071405025,0.0009552628015279514,0.7707252662376946
145,1111,"('conductivity_*_return_temperature', 'mean', 'caustic')",3298.399004431853,0.0009408972264028388,0.7716661634640974
146,911,"('return_flow__return_temperature', 'min', 'caustic')",3278.4044493103606,0.000935193604302634,0.7726013570684
147,459,"('return_temperature', 'kurt', 'caustic')",3276.4815010739117,0.0009346450664635915,0.7735360021348636
148,855,"('return_flow__return_turbidity', 'mean', 'caustic')",3251.174217097571,0.0009274259418915995,0.7744634280767552
149,443,"('return_temperature', 'std', 'caustic')",3241.83793284282,0.0009247626849756229,0.7753881907617308
150,705,"('tank_temperature_pre_rinse', 'sum', 'pre_rinse')",3186.2659274118214,0.0009089102833391275,0.77629710104507
151,188,"('supply_pressure', 'mean_200')",3160.693896126158,0.0009016156372766474,0.7771987166823466
152,557,"('return_flow', 'kurt', 'pre_rinse')",3103.054916964947,0.0008851736132666335,0.7780838902956133
153,989,"('supply_flow_*_supply_pressure', 'std', 'pre_rinse')",3057.7745572366625,0.0008722569937728666,0.7789561472893862
154,96,"('supply_flow', 'sum_50')",3052.4358787052397,0.0008707340889283882,0.7798268813783146
155,1048,"('supply_flow_*_return_turbidity', 'mean', 'intermediate_rinse')",3050.348702086535,0.0008701387035038494,0.7806970200818184
156,383,"('supply_flow', 'sum', 'caustic')",3032.7236271974257,0.0008651109964083696,0.7815621310782268
157,393,"('supply_flow', 'skew', 'pre_rinse')",3032.0874251839223,0.0008649295142077223,0.7824270605924345
158,1097,"('supply_flow_*_return_temperature', 'skew', 'pre_rinse')",3023.7816839461716,0.00086256022872003,0.7832896208211545
159,444,"('return_temperature', 'std', 'intermediate_rinse')",2999.6230304318938,0.00085566876105506,0.7841452895822095
160,43,"('tank_level_pre_rinse', 'median_10')",2995.950074373949,0.0008546210181461589,0.7849999106003557
161,957,"('return_flow__return_conductivity', 'std', 'pre_rinse')",2991.6807743083214,0.0008534031628821253,0.7858533137632377
162,1157,"('conductivity_*_return_turbidity', 'median', 'pre_rinse')",2967.961149538738,0.000846636932014656,0.7866999506952524
163,83,"('tank_concentration_caustic', 'std_10')",2921.8711225002985,0.0008334893478239527,0.7875334400430763
164,1005,"('supply_flow_*_supply_pressure', 'kurt', 'pre_rinse')",2875.590635626263,0.0008202874332957698,0.7883537274763721
165,335,"('tank_temperature_pre_rinse', 'std_500')",2858.577826905681,0.0008154343804913608,0.7891691618568635
166,129,"('tank_level_pre_rinse', 'max_50')",2801.1047892926763,0.0007990396927624465,0.7899682015496259
167,184,"('supply_flow', 'min_200')",2799.314955473655,0.00079852912697772,0.7907667306766036
168,876,"('return_flow__return_turbidity', 'kurt', 'intermediate_rinse')",2793.557509132281,0.0007968867649449631,0.7915636174415486
169,219,"('tank_level_pre_rinse', 'max_200')",2747.9375585795547,0.0007838732741920186,0.7923474907157406
170,703,"('tank_temperature_pre_rinse', 'sum', 'caustic')",2708.40316123974,0.0007725957408327861,0.7931200864565734
171,296,"('return_turbidity', 'mean_500')",2706.1280740153707,0.0007719467522609495,0.7938920332088344
172,883,"('object_residue', 'max', 'caustic')",2679.7656936023254,0.0007644266521824925,0.7946564598610169
173,310,"('tank_level_pre_rinse', 'min_500')",2630.352229201834,0.0007503310283544145,0.7954067908893713
174,505,"('return_turbidity', 'mean', 'pre_rinse')",2628.2236817577646,0.0007497238415393262,0.7961565147309106
175,671,"('tank_level_clean_water', 'sum', 'caustic')",2626.6877913785092,0.0007492857153466011,0.7969058004462573
176,857,"('return_flow__return_turbidity', 'mean', 'pre_rinse')",2624.3757518361385,0.0007486261858021683,0.7976544266320594
177,649,"('tank_level_acid', 'skew', 'pre_rinse')",2610.4088455131714,0.0007446420033539409,0.7983990686354133
178,37,"('return_flow', 'median_10')",2604.6253574103184,0.0007429922126804668,0.7991420608480938
179,293,"('conductivity', 'std_500')",2563.0346403441717,0.0007311280960957047,0.7998731889441895
180,943,"('return_flow__return_conductivity', 'min', 'caustic')",2554.197039888456,0.0007286070931043545,0.8006017960372939
181,127,"('return_flow', 'median_50')",2548.686868635932,0.0007270352684580523,0.8013288313057519
182,107,"('return_temperature', 'std_50')",2499.8467291925717,0.0007131031905991757,0.8020419344963511
183,1019,"('supply_flow_*_return_conductivity', 'std', 'caustic')",2499.422038453101,0.0007129820438433374,0.8027549165401944
184,981,"('supply_flow_*_supply_pressure', 'max', 'pre_rinse')",2492.4573804023703,0.0007109953140893048,0.8034659118542837
185,124,"('return_flow', 'min_50')",2471.1477153512524,0.0007049165453547672,0.8041708283996385
186,1181,"('return_temperature_*_return_turbidity', 'std', 'pre_rinse')",2469.7025829728473,0.0007045043086772762,0.8048753327083158
187,210,"('return_turbidity', 'sum_200')",2455.9919875319006,0.000700593241154704,0.8055759259494705
188,799,"('tank_concentration_caustic', 'sum', 'caustic')",2453.107689896025,0.0006997704699732704,0.8062756964194437
189,123,"('return_flow', 'max_50')",2448.4133540822904,0.0006984313695366612,0.8069741277889804
190,577,"('tank_level_pre_rinse', 'sum', 'pre_rinse')",2446.899283139697,0.0006979994675294906,0.8076721272565098
191,899,"('object_residue', 'median', 'caustic')",2446.2179790261193,0.0006978051195594783,0.8083699323760694
192,301,"('return_turbidity', 'median_500')",2365.420803924701,0.0006747570171764848,0.8090446893932458
193,1147,"('conductivity_*_return_turbidity', 'std', 'caustic')",2356.1557710744332,0.0006721140853481538,0.809716803478594
